# ECG Data Recording
# Format: sample_number,time(s),voltage(V)
# Sample rate: ~200 Hz
# Target duration: 10 seconds
605,4.269503,1.258000
606,4.276554,1.424000
607,4.283606,1.742000
608,4.290666,1.190000
609,4.297706,1.562000
610,4.304751,1.656000
611,4.311792,1.146000
612,4.318832,1.672000
613,4.325874,1.530000
614,4.332915,1.112000
615,4.339956,1.758000
616,4.346997,1.414000
617,4.354038,1.124000
618,4.361078,1.796000
619,4.368118,1.332000
620,4.375160,1.232000
621,4.382200,1.804000
622,4.389247,1.276000
623,4.396290,1.396000
624,4.403331,1.774000
625,4.410373,1.226000
626,4.417414,1.556000
627,4.424455,1.720000
628,4.431496,1.204000
629,4.438536,1.702000
630,4.445574,1.628000
631,4.452615,1.182000
632,4.459656,1.808000
633,4.466697,1.518000
634,4.473733,1.188000
635,4.480775,1.862000
636,4.487816,1.412000
637,4.494856,1.246000
638,4.501897,1.844000
639,4.508937,1.326000
640,4.515978,1.386000
641,4.523018,1.814000
642,4.530059,1.268000
643,4.537099,1.546000
644,4.544138,1.774000
645,4.551184,1.244000
646,4.558226,1.702000
647,4.565268,1.706000
648,4.572309,1.244000
649,4.579351,1.840000
650,4.586392,1.600000
651,4.593433,1.228000
652,4.600474,1.892000
653,4.607517,1.466000
654,4.614571,1.250000
655,4.621622,1.870000
656,4.628669,1.346000
657,4.635712,1.336000
658,4.642757,1.796000
659,4.649798,1.242000
660,4.656840,1.462000
661,4.663882,1.738000
662,4.670922,1.252000
663,4.677962,1.768000
664,4.685003,1.888000
665,4.692042,1.376000
666,4.699083,1.816000
667,4.706122,1.478000
668,4.713162,0.964000
669,4.720212,1.620000
670,4.727288,1.284000
671,4.734337,1.110000
672,4.741384,1.814000
673,4.748427,1.368000
674,4.755470,1.362000
675,4.762510,1.904000
676,4.769551,1.388000
677,4.776592,1.584000
678,4.783631,1.916000
679,4.790674,1.380000
680,4.797715,1.766000
681,4.804757,1.874000
682,4.811798,1.380000
683,4.818839,1.918000
684,4.825878,1.790000
685,4.832917,1.378000
686,4.839956,2.030000
687,4.846996,1.690000
688,4.854036,1.408000
689,4.861075,2.086000
690,4.868114,1.634000
691,4.875153,1.548000
692,4.882191,2.130000
693,4.889237,1.620000
694,4.896278,1.752000
695,4.903319,2.146000
696,4.910360,1.614000
697,4.917399,1.950000
698,4.924438,2.124000
699,4.931479,1.604000
700,4.938604,2.098000
701,4.945700,1.988000
702,4.952759,1.522000
703,4.959805,2.120000
704,4.966846,1.754000
705,4.973886,1.400000
706,4.980927,2.034000
707,4.987966,1.534000
708,4.995007,1.372000
709,5.002047,1.918000
710,5.009088,1.368000
711,5.016127,1.444000
712,5.023191,1.820000
713,5.030255,1.260000
714,5.037360,1.576000
715,5.044456,1.732000
716,5.051544,1.216000
717,5.058644,1.726000
718,5.065737,1.618000
719,5.072831,1.184000
720,5.079921,1.832000
721,5.087011,1.490000
722,5.094104,1.218000
723,5.101195,1.876000
724,5.108288,1.388000
725,5.115381,1.336000
726,5.122476,1.854000
727,5.129574,1.308000
728,5.136666,1.508000
729,5.143757,1.794000
730,5.150856,1.250000
731,5.157953,1.664000
732,5.165044,1.702000
733,5.172134,1.222000
734,5.179223,1.804000
735,5.186900,1.506000
736,5.193999,1.212000
737,5.201090,1.874000
738,5.208181,1.392000
739,5.215272,1.314000
740,5.222367,1.838000
741,5.229527,1.286000
742,5.236650,1.478000
743,5.243748,1.762000
744,5.250836,1.218000
745,5.257933,1.628000
746,5.265092,1.658000
747,5.272213,1.184000
748,5.279309,1.778000
749,5.286405,1.524000
750,5.293547,1.172000
751,5.300713,1.846000
752,5.307834,1.394000
753,5.314938,1.264000
754,5.322026,1.850000
755,5.329136,1.318000
756,5.336263,1.446000
757,5.343428,1.808000
758,5.350541,1.258000
759,5.357662,1.634000
760,5.364775,1.724000
761,5.371869,1.228000
762,5.378962,1.784000
763,5.386055,1.600000
764,5.393148,1.204000
765,5.400246,1.868000
766,5.407340,1.466000
767,5.414434,1.244000
768,5.421527,1.880000
769,5.428629,1.372000
770,5.435915,1.432000
771,5.443398,1.836000
772,5.450525,1.288000
773,5.457637,1.660000
774,5.464760,1.754000
775,5.471828,1.264000
776,5.479033,1.840000
777,5.486157,1.634000
778,5.493337,1.258000
779,5.500480,1.932000
780,5.507585,1.504000
781,5.514636,1.320000
782,5.521734,1.930000
783,5.528845,1.398000
784,5.535976,1.456000
785,5.543068,1.860000
786,5.550154,1.312000
787,5.557241,1.622000
788,5.564326,1.796000
789,5.571404,1.274000
790,5.578496,1.774000
791,5.585582,1.682000
792,5.592666,1.242000
793,5.599748,1.886000
794,5.606833,1.582000
795,5.613915,1.364000
796,5.620999,2.114000
797,5.628082,1.640000
798,5.635163,1.438000
799,5.642263,1.832000
800,5.649467,1.144000
801,5.656604,1.304000
802,5.663703,1.618000
803,5.670799,1.122000
804,5.677905,1.592000
805,5.685073,1.652000
806,5.692199,1.202000
807,5.699297,1.830000
808,5.706387,1.592000
809,5.713509,1.264000
810,5.720611,1.956000
811,5.727708,1.528000
812,5.734803,1.390000
813,5.741895,1.992000
814,5.748987,1.472000
815,5.756080,1.582000
816,5.763167,1.982000
817,5.770268,1.438000
818,5.777363,1.780000
819,5.784456,1.926000
820,5.791550,1.414000
821,5.798646,1.948000
822,5.805795,1.818000
823,5.812901,1.418000
824,5.819998,2.088000
825,5.827092,1.732000
826,5.834186,1.496000
827,5.841299,2.162000
828,5.848392,1.676000
829,5.855485,1.672000
830,5.862576,2.174000
831,5.869664,1.636000
832,5.876763,1.860000
833,5.883855,2.106000
834,5.890946,1.550000
835,5.898036,1.962000
836,5.905125,1.922000
837,5.912221,1.412000
838,5.919312,1.970000
839,5.926404,1.656000
840,5.933494,1.272000
841,5.940592,1.916000
842,5.947758,1.446000
843,5.954882,1.302000
844,5.961981,1.866000
845,5.969075,1.320000
846,5.976171,1.440000
847,5.983264,1.796000
848,5.990355,1.246000
849,5.997446,1.604000
850,6.004539,1.716000
851,6.011631,1.210000
852,6.018724,1.756000
853,6.025816,1.604000
854,6.032907,1.200000
855,6.040004,1.866000
856,6.047097,1.486000
857,6.054188,1.244000
858,6.061290,1.892000
859,6.068382,1.386000
860,6.075486,1.374000
861,6.082614,1.852000
862,6.089721,1.308000
863,6.096816,1.568000
864,6.103909,1.808000
865,6.111002,1.270000
866,6.118105,1.724000
867,6.125198,1.700000
868,6.132301,1.230000
869,6.139457,1.840000
870,6.146582,1.526000
871,6.153680,1.210000
872,6.160775,1.884000
873,6.167870,1.418000
874,6.174973,1.306000
875,6.182069,1.856000
876,6.189161,1.306000
877,6.196253,1.458000
878,6.203344,1.808000
879,6.210442,1.260000
880,6.217535,1.638000
881,6.224626,1.718000
882,6.231718,1.210000
883,6.238819,1.768000
884,6.245913,1.582000
885,6.253005,1.184000
886,6.260097,1.850000
887,6.267188,1.450000
888,6.274273,1.232000
889,6.281373,1.884000
890,6.288465,1.382000
891,6.295557,1.406000
892,6.302648,1.866000
893,6.309738,1.320000
894,6.316829,1.586000
895,6.323923,1.802000
896,6.331020,1.264000
897,6.338118,1.728000
898,6.345214,1.688000
899,6.352304,1.232000
900,6.359490,1.858000
901,6.366641,1.532000
902,6.373775,1.238000
903,6.380879,1.904000
904,6.387979,1.418000
905,6.395069,1.344000
906,6.402164,1.882000
907,6.409258,1.346000
908,6.416945,1.612000
909,6.424046,1.802000
910,6.431142,1.278000
911,6.438300,1.778000
912,6.445426,1.680000
913,6.452529,1.238000
914,6.459677,1.884000
915,6.466799,1.540000
916,6.473897,1.276000
917,6.480992,1.946000
918,6.488087,1.456000
919,6.495180,1.408000
920,6.502271,1.918000
921,6.509362,1.372000
922,6.516453,1.574000
923,6.523543,1.850000
924,6.530633,1.308000
925,6.537725,1.734000
926,6.544820,1.764000
927,6.551914,1.286000
928,6.559007,1.884000
929,6.566097,1.690000
930,6.573188,1.424000
931,6.580272,2.178000
932,6.587365,1.736000
933,6.594450,1.428000
934,6.601546,1.884000
935,6.608638,1.224000
936,6.615730,1.264000
937,6.622820,1.710000
938,6.629910,1.214000
939,6.637001,1.572000
940,6.644094,1.782000
941,6.651187,1.298000
942,6.658274,1.832000
943,6.665373,1.758000
944,6.672465,1.336000
945,6.679556,1.994000
946,6.686645,1.668000
947,6.693735,1.390000
948,6.700821,2.066000
949,6.707912,1.588000
950,6.715005,1.524000
951,6.722095,2.060000
952,6.729185,1.524000
953,6.736275,1.716000
954,6.743369,2.036000
955,6.750464,1.504000
956,6.757556,1.928000
957,6.764648,1.998000
958,6.771740,1.534000
959,6.778831,2.124000
960,6.785915,1.924000
961,6.793011,1.564000
962,6.800103,2.254000
963,6.807194,1.850000
964,6.814283,1.660000
965,6.821372,2.290000
966,6.828462,1.774000
967,6.835552,1.814000
968,6.842641,2.236000
969,6.849735,1.666000
970,6.856828,1.924000
971,6.863918,2.074000
972,6.871008,1.502000
973,6.878098,1.946000
974,6.885186,1.836000
975,6.892276,1.360000
976,6.899365,1.970000
977,6.906455,1.622000
978,6.913545,1.300000
979,6.920635,1.952000
980,6.927724,1.466000
981,6.934814,1.364000
982,6.941911,1.896000
983,6.949082,1.336000
984,6.956237,1.516000
985,6.963341,1.810000
986,6.970437,1.260000
987,6.977530,1.674000
988,6.984623,1.706000
989,6.991714,1.218000
990,6.998810,1.796000
991,7.005903,1.560000
992,7.012996,1.194000
993,7.020087,1.874000
994,7.027179,1.446000
995,7.034270,1.264000
996,7.041362,1.874000
997,7.048455,1.348000
998,7.055554,1.412000
999,7.062649,1.820000
1000,7.069849,1.266000
1001,7.076982,1.598000
1002,7.084080,1.738000
1003,7.091175,1.222000
1004,7.098269,1.750000
1005,7.105362,1.620000
1006,7.112455,1.200000
1007,7.119548,1.848000
1008,7.126642,1.478000
1009,7.133734,1.216000
1010,7.140831,1.872000
1011,7.147937,1.376000
1012,7.155047,1.350000
1013,7.162137,1.848000
1014,7.169235,1.304000
1015,7.176327,1.536000
1016,7.183427,1.802000
1017,7.190522,1.266000
1018,7.197621,1.706000
1019,7.204716,1.714000
1020,7.211812,1.246000
1021,7.218904,1.846000
1022,7.225996,1.574000
1023,7.233087,1.222000
1024,7.240183,1.900000
1025,7.247277,1.456000
1026,7.254372,1.312000
1027,7.261465,1.904000
1028,7.268559,1.378000
1029,7.275652,1.484000
1030,7.282744,1.870000
1031,7.289834,1.318000
1032,7.296927,1.656000
1033,7.304026,1.786000
1034,7.311119,1.268000
1035,7.318211,1.788000
1036,7.325304,1.648000
1037,7.332395,1.232000
1038,7.339488,1.884000
1039,7.346580,1.512000
1040,7.353673,1.242000
1041,7.360769,1.894000
1042,7.367860,1.394000
1043,7.374952,1.366000
